"Theme","Ranking","Group","GrpName"
1,10,1,"HSTeachers"
2,2,1,"HSTeachers"
3,7,1,"HSTeachers"
4,1,1,"HSTeachers"
5,2,1,"HSTeachers"
6,6,1,"HSTeachers"
7,5,1,"HSTeachers"
8,7,1,"HSTeachers"
9,9,1,"HSTeachers"
10,2,1,"HSTeachers"
11,10,1,"HSTeachers"
12,12,1,"HSTeachers"
1,2,2,"GeoAlums"
2,1,2,"GeoAlums"
3,3,2,"GeoAlums"
4,6,2,"GeoAlums"
5,5,2,"GeoAlums"
6,4,2,"GeoAlums"
7,8,2,"GeoAlums"
8,10,2,"GeoAlums"
9,7,2,"GeoAlums"
10,8,2,"GeoAlums"
11,11,2,"GeoAlums"
12,12,2,"GeoAlums"
1,5,3,"GeoStudents"
2,1,3,"GeoStudents"
3,7,3,"GeoStudents"
4,2,3,"GeoStudents"
5,9,3,"GeoStudents"
6,4,3,"GeoStudents"
7,2,3,"GeoStudents"
8,6,3,"GeoStudents"
9,10,3,"GeoStudents"
10,7,3,"GeoStudents"
11,11,3,"GeoStudents"
12,12,3,"GeoStudents"
1,1,4,"GPublic"
2,5,4,"GPublic"
3,2,4,"GPublic"
4,3,4,"GPublic"
5,4,4,"GPublic"
6,8,4,"GPublic"
7,7,4,"GPublic"
8,9,4,"GPublic"
9,6,4,"GPublic"
10,10,4,"GPublic"
11,11,4,"GPublic"
12,12,4,"GPublic"
