"ID","AGE","EDUC","DEGREE","SEX","RACE","BIBLE1"
502,30,11,0,2,2,"."
578,32,11,0,1,1,"3"
600,41,12,1,2,2,"1"
863,39,9,0,2,2,"."
951,61,8,0,1,1,"1"
991,35,17,3,1,1,"3"
1179,21,9,1,1,1,"2"
1384,21,11,0,1,3,"2"
1420,52,17,4,1,1,"3"
1423,72,10,0,1,1,"."
1446,41,13,1,2,1,"."
1462,26,17,1,1,1,"2"
1479,24,12,1,2,2,"."
1550,47,12,1,2,2,"1"
1557,23,12,1,2,2,"."
1722,27,12,1,2,1,"."
2071,47,11,1,1,1,"2"
2079,18,6,0,2,3,"."
2127,34,10,0,1,1,"."
2156,23,12,0,2,1,"2"
2229,35,10,0,1,1,"2"
2241,26,8,0,1,1,"."
2251,45,11,1,1,1,"."
2316,51,12,1,1,1,"."
2325,41,18,4,2,1,"9"
2349,46,12,1,1,1,"."
2403,24,13,1,1,2,"."
2406,47,12,1,1,2,"1"
2420,81,10,0,1,2,"1"
2421,25,9,1,1,2,"3"
2433,56,6,0,1,2,"."
2445,40,12,1,1,2,"."
2449,46,10,0,1,2,"."
2460,23,10,0,2,2,"."
2520,39,13,1,2,1,"."
2582,54,11,0,1,1,"."
2583,67,7,0,1,1,"."
2630,72,12,1,2,1,"2"
2640,36,13,1,2,1,"."
67,70,14,1,2,1,"2"
68,99,14,2,2,1,"2"
80,66,18,4,2,1,"."
82,43,12,1,1,3,"1"
141,52,16,3,2,3,"2"
153,32,12,1,2,3,"3"
164,37,14,2,1,1,"1"
167,50,14,2,1,1,"2"
178,62,17,3,1,1,"."
533,34,16,3,1,3,"4"
559,34,14,2,1,2,"."
645,31,7,0,2,1,"."
931,40,20,3,1,3,"3"
934,35,17,3,2,3,"."
1022,35,12,1,1,1,"8"
1031,70,12,1,1,1,"."
1188,22,14,1,1,1,"."
1196,38,12,1,1,1,"."
1220,74,12,1,2,1,"."
1364,58,14,1,2,1,"."
1616,33,20,4,2,3,"2"
1774,45,16,3,2,1,"1"
1861,42,15,1,2,1,"2"
1867,99,12,1,1,1,"4"
1977,62,12,1,2,3,"1"
2039,43,13,1,1,1,"1"
2111,63,12,1,2,1,"."
2190,65,9,0,2,1,"."
2283,28,14,1,1,1,"."
2423,67,14,2,2,1,"."
2447,56,16,3,1,1,"1"
2462,54,17,3,1,1,"."
2533,23,13,1,1,1,"1"
2566,58,8,0,2,1,"."
2570,23,13,1,2,1,"1"
2590,55,12,1,2,1,"4"
2599,18,12,1,1,1,"2"
2800,49,8,0,2,1,"1"
1,52,9,0,2,3,"."
2,43,14,1,2,3,"."
4,53,14,2,1,1,"1"
6,33,16,3,1,2,"1"
7,24,14,1,1,3,"2"
8,22,14,1,1,3,"."
9,19,12,1,1,2,"3"
10,26,14,2,1,2,"."
12,58,12,1,2,2,"."
13,32,10,0,1,2,"."
14,40,18,4,1,2,"3"
16,48,11,0,1,2,"."
17,39,9,0,2,2,"."
18,27,9,0,1,1,"2"
19,38,16,3,2,2,"."
20,29,11,1,1,3,"."
21,29,13,0,2,2,"1"
22,67,14,1,2,1,"."
23,57,12,1,1,1,"."
24,20,14,1,1,3,"2"
25,19,13,1,1,1,"2"
26,55,16,2,2,3,"."
27,35,13,1,2,1,"."
28,26,16,3,1,1,"3"
29,81,16,3,1,1,"3"
30,73,16,3,1,1,"."
31,65,12,1,2,1,"2"
32,68,12,0,1,2,"."
33,35,13,1,1,2,"2"
34,30,18,4,1,1,"2"
35,47,17,3,2,1,"."
36,58,16,3,2,1,"."
37,57,20,4,2,1,"3"
38,29,19,4,1,1,"."
39,53,18,4,2,1,"3"
40,48,16,4,1,1,"2"
41,23,13,1,2,2,"4"
42,36,14,1,1,3,"1"
43,24,12,1,1,2,"1"
44,61,15,1,2,1,"3"
45,49,14,1,1,1,"2"
46,55,16,3,1,3,"."
47,53,13,1,2,1,"2"
48,33,18,4,1,1,"."
49,26,13,1,2,1,"."
50,63,16,3,2,1,"3"
52,30,17,4,1,3,"."
54,49,12,1,1,1,"."
55,23,12,0,1,1,"."
56,59,8,0,2,1,"1"
57,47,16,4,1,1,"."
58,31,16,3,2,1,"2"
59,55,16,3,2,1,"."
60,74,16,3,1,1,"."
61,49,16,3,1,1,"."
62,40,16,3,1,1,"."
63,40,20,4,2,3,"."
65,55,20,4,1,3,"."
66,48,18,4,2,1,"."
69,57,18,4,2,1,"."
71,38,16,3,2,2,"."
73,53,18,4,2,1,"3"
75,41,16,2,2,2,"."
76,25,14,1,2,3,"2"
77,26,16,3,1,1,"3"
78,57,18,4,1,3,"8"
79,57,10,0,2,3,"."
81,39,15,3,2,2,"1"
83,30,17,3,2,1,"."
84,48,16,3,1,1,"."
85,45,17,3,1,1,"1"
86,45,12,1,1,1,"8"
87,32,16,3,1,3,"."
88,22,12,1,2,2,"2"
89,33,15,3,1,3,"."
90,69,12,1,2,1,"."
92,31,15,3,1,3,"."
93,31,14,2,1,3,"."
94,45,13,1,2,1,"."
95,79,12,1,2,1,"."
96,18,12,1,2,1,"."
97,55,12,1,2,1,"2"
98,63,13,1,1,1,"2"
99,63,12,1,1,1,"."
103,37,16,3,2,1,"."
104,29,16,3,2,3,"2"
105,33,14,2,2,3,"."
106,50,17,3,2,1,"."
107,39,8,0,1,1,"2"
108,42,10,0,1,1,"."
109,35,12,1,1,1,"2"
110,57,15,1,2,3,"."
111,57,15,1,1,2,"1"
112,60,9,0,1,1,"."
113,74,14,1,2,1,"."
115,28,12,1,2,1,"2"
116,34,18,4,2,1,"."
118,49,14,1,1,3,"2"
124,68,11,0,1,1,"1"
125,47,12,1,2,1,"."
126,42,14,2,1,1,"2"
127,56,18,4,1,1,"3"
128,57,18,4,2,1,"3"
129,62,12,1,1,1,"."
130,61,15,1,1,1,"."
131,56,6,0,2,1,"."
132,59,12,1,2,1,"2"
133,19,11,0,1,1,"."
134,40,12,1,1,1,"2"
135,55,14,1,1,1,"."
136,32,18,4,2,1,"."
137,46,16,3,1,1,"2"
138,23,9,1,1,1,"1"
139,50,14,1,1,1,"."
140,24,12,1,2,1,"."
142,51,12,1,2,1,"8"
143,50,12,1,2,1,"."
144,55,16,3,2,1,"."
145,21,12,1,1,1,"4"
146,49,15,1,1,1,"."
147,61,19,4,1,1,"3"
149,28,14,1,1,1,"."
150,45,16,3,2,1,"2"
151,61,9,0,1,2,"."
152,35,12,1,2,1,"."
154,31,18,4,2,1,"2"
156,58,12,1,1,1,"."
157,33,16,3,2,3,"2"
158,51,18,4,2,1,"2"
159,33,19,4,1,1,"."
160,58,12,1,1,1,"."
162,28,19,4,2,1,"2"
163,33,16,3,1,1,"."
165,29,13,1,2,1,"2"
168,99,16,3,2,1,"."
170,46,16,1,1,2,"2"
171,67,16,3,1,1,"."
172,55,14,2,1,1,"3"
175,26,19,2,2,1,"2"
176,31,16,3,2,1,"."
177,74,18,4,1,1,"."
180,35,14,1,1,1,"2"
181,38,13,1,2,2,"."
182,69,12,1,1,1,"."
183,35,6,0,1,3,"."
184,59,13,1,2,3,"."
185,76,14,1,1,1,"."
187,70,14,1,1,1,"2"
188,69,12,1,2,1,"3"
189,99,12,1,1,1,"."
190,70,13,1,2,1,"2"
191,79,12,1,2,1,"."
192,56,14,1,1,1,"1"
193,47,15,1,1,1,"."
194,62,99,0,1,1,"."
195,56,15,1,2,1,"4"
198,30,12,1,1,1,"."
199,64,15,1,2,1,"."
202,18,12,1,1,1,"."
203,64,14,2,1,1,"."
204,38,15,2,2,3,"."
205,49,12,1,1,1,"."
206,28,14,1,1,1,"."
207,24,11,0,1,3,"."
208,36,12,1,2,3,"1"
209,41,13,1,2,2,"2"
210,24,15,2,1,1,"."
211,28,14,1,1,3,"."
212,51,6,0,1,3,"."
213,20,15,1,1,3,"2"
214,30,14,1,2,3,"."
216,44,14,1,2,1,"."
217,38,11,0,2,1,"1"
218,34,16,3,2,1,"."
219,21,15,1,1,1,"2"
220,31,13,1,1,1,"."
221,23,15,1,1,3,"3"
222,45,15,1,1,3,"4"
223,55,16,3,1,3,"."
224,56,16,1,2,1,"2"
225,23,12,1,1,2,"."
226,61,17,3,2,3,"1"
227,36,11,0,1,1,"."
228,20,14,1,1,1,"2"
230,33,13,1,2,3,"."
231,28,13,1,2,1,"1"
232,29,16,3,1,3,"3"
233,57,17,3,1,1,"."
234,25,16,3,2,3,"2"
235,64,10,1,2,1,"."
236,37,14,1,1,1,"3"
237,26,14,1,2,3,"."
238,28,16,3,2,3,"."
239,41,13,1,2,1,"."
240,70,14,1,1,1,"."
243,40,18,4,1,2,"."
244,27,11,0,1,1,"3"
245,43,6,0,2,1,"1"
246,61,14,1,2,1,"2"
247,43,10,0,2,3,"1"
248,62,12,1,2,1,"."
249,64,9,0,2,1,"3"
250,59,18,4,2,1,"."
252,62,11,0,1,1,"."
253,49,17,4,2,1,"."
254,84,12,1,2,1,"2"
255,44,14,1,1,1,"."
257,39,16,3,2,1,"4"
258,50,12,1,1,1,"."
259,44,20,4,2,1,"."
260,28,17,3,1,1,"."
261,24,17,3,2,1,"."
264,38,12,1,1,3,"."
265,69,9,0,2,2,"1"
266,24,11,1,2,2,"."
267,54,14,1,2,2,"."
268,49,20,4,1,1,"."
271,25,15,2,1,1,"."
272,45,16,3,2,1,"4"
273,18,12,1,2,3,"."
274,25,12,1,2,3,"1"
276,36,12,1,2,1,"."
277,19,13,1,1,1,"."
282,43,13,1,2,1,"2"
285,46,16,3,1,1,"."
286,41,14,8,2,1,"1"
287,35,16,3,2,1,"."
288,57,13,1,2,1,"2"
289,53,16,3,2,1,"."
290,50,14,1,2,1,"."
291,76,12,0,2,1,"2"
292,45,12,1,2,1,"."
293,66,12,1,2,1,"2"
294,49,14,1,1,1,"."
295,67,13,1,2,1,"2"
297,70,12,1,2,1,"2"
298,77,14,1,1,1,"2"
299,46,16,3,1,1,"."
300,23,14,2,1,1,"."
301,39,16,3,2,1,"."
302,22,14,1,2,3,"."
303,46,12,1,2,2,"1"
304,78,14,2,2,1,"1"
305,46,13,1,1,1,"."
306,36,15,2,2,3,"1"
307,53,15,1,2,1,"3"
308,67,12,1,2,1,"3"
309,41,12,1,1,1,"."
310,22,15,2,2,3,"1"
311,63,14,1,2,1,"2"
312,62,11,1,2,1,"2"
314,18,11,0,1,1,"."
315,36,20,4,1,3,"2"
316,50,16,3,2,1,"."
317,48,12,1,1,1,"."
318,34,12,1,2,1,"2"
319,40,18,4,2,3,"2"
320,60,12,1,1,1,"."
321,26,16,3,1,1,"1"
323,52,15,2,2,1,"."
325,31,15,1,2,2,"3"
326,62,15,2,1,2,"."
327,36,12,1,2,2,"2"
328,37,16,3,2,1,"."
330,54,15,2,1,2,"."
331,24,13,1,2,2,"."
332,19,11,1,1,1,"2"
333,35,12,1,1,2,"."
334,27,12,1,2,3,"1"
335,49,13,1,2,3,"."
337,50,16,4,2,1,"."
338,74,16,3,1,3,"3"
339,41,17,3,1,1,"."
340,82,16,3,2,1,"."
341,47,13,1,2,1,"3"
342,44,20,4,1,3,"."
343,36,13,0,2,1,"2"
344,28,12,1,2,1,"."
345,33,14,1,2,1,"."
346,40,12,1,1,1,"."
347,41,14,1,1,1,"2"
349,41,14,1,2,1,"."
350,58,16,3,1,1,"."
351,81,9,0,2,1,"1"
352,55,16,3,2,1,"4"
353,37,16,3,2,1,"."
354,67,14,1,1,1,"."
355,46,14,1,2,3,"."
356,35,12,1,1,1,"."
357,76,8,0,2,1,"3"
358,81,12,1,1,1,"."
359,57,16,3,2,3,"."
361,42,12,1,2,3,"."
362,46,15,1,1,3,"3"
364,30,16,4,2,3,"2"
365,51,18,4,1,1,"."
366,89,16,3,1,1,"."
369,47,10,0,1,3,"."
370,53,17,3,2,1,"."
371,49,12,1,2,1,"2"
372,66,13,1,2,1,"."
373,68,18,4,2,1,"."
374,55,12,1,1,1,"."
375,32,19,4,2,1,"."
376,53,13,1,1,1,"2"
377,44,16,3,1,1,"."
378,67,12,1,2,1,"."
379,44,13,1,1,1,"3"
380,46,2,0,1,1,"1"
381,38,16,3,2,1,"."
382,69,16,3,1,1,"."
383,61,20,4,2,1,"3"
384,29,9,1,1,3,"2"
385,40,16,4,2,1,"."
387,37,18,3,2,1,"."
388,29,10,0,2,3,"."
390,23,12,1,1,2,"."
