"USER","GENDER","EDUC","WORK","SATISF"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Some"
"both","Male","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Some"
"both","Male","COLL",1,"Yes"
"both","Male","COLL",1,"Yes"
"both","Female","COLL",1,"Some"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Male","COLL",1,"Yes"
"both","Male","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Some"
"both","Female","COLL",1,"Yes"
"both","Male","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Male","COLL",1,"Yes"
"both","Female","COLL",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Male","GRAD",1,"Yes"
"both","Female","GRAD",1,"Some"
"both","Female","GRAD",1,"Yes"
"both","Female","GRAD",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Male","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Female","HS",1,"Yes"
"both","Male","HS",1,"Yes"
"both","Female","HS",1,"Some"
"both","Male","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Male","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","PROF",1,"Yes"
"both","Female","COLL",2,"Yes"
"both","Female","COLL",2,"Yes"
"both","Female","COLL",2,"Yes"
"both","Female","COLL",2,"Yes"
"both","Female","GRAD",2,"Yes"
"both","Female","GRAD",2,"Yes"
"both","Female","GRAD",2,"Yes"
"both","Female","HS",2,"Yes"
"both","Male","HS",2,"Yes"
"both","Female","HS",2,"Yes"
"both","Male","HS",2,"Some"
"both","Female","PROF",2,"Yes"
"both","Female","PROF",2,"No"
"both","Male","COLL",3,"Yes"
"both","Female","COLL",3,"Yes"
"both","Female","COLL",3,"Yes"
"both","Female","COLL",3,"Yes"
"both","Female","COLL",3,"Yes"
"both","Male","GRAD",3,"Yes"
"both","Female","GRAD",3,"Yes"
"both","Male","GRAD",3,"Yes"
"both","Female","GRAD",3,"Some"
"both","Female","GRAD",3,"Yes"
"both","Female","GRAD",3,"Yes"
"both","Male","GRAD",3,"Yes"
"both","Female","HS",3,"Some"
"both","Male","HS",3,"Yes"
"both","Female","PROF",3,"Yes"
"both","Female","PROF",3,"Yes"
"both","Female","PROF",3,"Yes"
"both","Female","COLL",4,"Yes"
"both","Female","COLL",4,"Yes"
"both","Male","COLL",4,"Yes"
"both","Male","COLL",4,"No"
"both","Female","COLL",4,"Yes"
"both","Female","GRAD",4,"Yes"
"both","Female","GRAD",4,"Yes"
"both","Female","GRAD",4,"Yes"
"both","Male","GRAD",4,"Yes"
"both","Female","GRAD",4,"Yes"
"both","Male","HS",4,"Yes"
"both","Female","HS",4,"Yes"
"both","Female","HS",4,"Yes"
"both","Male","PROF",4,"Yes"
"both","Female","PROF",4,"No"
"mail","Male","COLL",1,"Yes"
"mail","Male","COLL",1,"Yes"
"mail","Female","COLL",1,"No"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Male","COLL",1,"No"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Some"
"mail","Male","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Male","COLL",1,"Some"
"mail","Male","COLL",1,"Some"
"mail","Male","COLL",1,"Some"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Male","COLL",1,"Some"
"mail","Female","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"Yes"
"mail","Female","COLL",1,"No"
"mail","Female","COLL",1,"Yes"
"mail","Male","COLL",1,"Yes"
"mail","Male","COLL",1,"Some"
"mail","Female","COLL",1,"Yes"
"mail","Male","COLL",1,"No"
"mail","Female","COLL",1,"Some"
"mail","Male","COLL",1,"No"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Male","GRAD",1,"Some"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Some"
"mail","Female","GRAD",1,"No"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"No"
"mail","Female","GRAD",1,"Some"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Some"
"mail","Female","GRAD",1,"No"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Male","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"No"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Yes"
"mail","Female","GRAD",1,"Some"
"mail","Female","HS",1,"Some"
"mail","Female","HS",1,"Yes"
"mail","Female","HS",1,"Yes"
"mail","Female","HS",1,"Yes"
"mail","Male","HS",1,"Yes"
"mail","Male","HS",1,"Yes"
"mail","Female","HS",1,"Yes"
"mail","Male","HS",1,"Yes"
"mail","Male","HS",1,"No"
"mail","Female","HS",1,"No"
"mail","Male","HS",1,"Yes"
"mail","Male","HS",1,"No"
"mail","Male","HS",1,"No"
"mail","Female","HS",1,"Some"
"mail","Female","HS",1,"Yes"
"mail","Male","PROF",1,"Some"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Some"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"Yes"
"mail","Male","PROF",1,"Yes"
"mail","Female","PROF",1,"No"
"mail","Male","PROF",1,"Some"
"mail","Female","PROF",1,"Some"
"mail","Female","PROF",1,"Yes"
"mail","Female","PROF",1,"No"
