"DURATION","EE","SECMIN"
1,0.1,"0-5"
1,0.94,"0-5"
1,0.44,"0-5"
1,0.07,"0-5"
1,0.1,"0-5"
1,0.08,"0-5"
1,0.06,"0-5"
1,0.05,"0-5"
1,1.01,"0-5"
1,0.13,"0-5"
1,0.04,"0-5"
2,0.43,"6-10"
2,0.46,"6-10"
2,1.01,"6-10"
2,1.11,"6-10"
2,0.13,"6-10"
2,0.02,"6-10"
2,0.36,"6-10"
2,0.18,"6-10"
2,0.4,"6-10"
2,0.09,"6-10"
2,1.29,"6-10"
2,0.5,"6-10"
3,0.11,"10-20"
3,0.62,"10-20"
3,0.11,"10-20"
3,1.71,"10-20"
3,0.6,"10-20"
3,0.08,"10-20"
3,0.24,"10-20"
3,0.58,"10-20"
3,0.19,"10-20"
3,1.09,"10-20"
3,2.09,"10-20"
4,0.88,">20"
4,0.52,">20"
4,0.7,">20"
4,2.5,">20"
4,1.12,">20"
4,0.7,">20"
4,1.2,">20"
4,0.56,">20"
4,0.36,">20"
4,0.22,">20"
4,0.5,">20"
