"ID","Player","TEAM","POS","G","AB","R","H","AVG"
1,"A Hill*","TOR","2B",158,682,103,195,0.286
2,"O Cabrera*","MIN","SS",160,656,83,186,0.284
3,"N Markakis*","BAL","OF",161,642,94,188,0.293
4,"I Suzuki*","SEA","OF",146,639,88,225,0.352
5,"R Cano*","NYY","2B",161,637,103,204,0.32
6,"D Jeter*","NYY","SS",153,634,107,212,0.334
7,"B Roberts*","BAL","2B",159,632,110,179,0.283
8,"C Granderson*","DET","OF",160,631,91,157,0.249
9,"V Wells*","TOR","OF",158,630,84,164,0.26
10,"D Pedroia*","BOS","2B",154,626,115,185,0.296
11,"J Ellsbury*","BOS","OF",153,624,94,188,0.301
12,"P Polanco*","DET","2B",153,618,82,176,0.285
13,"C Figgins*","LAA","3B",158,615,114,183,0.298
14,"J Lopez*","SEA","2B",153,613,69,167,0.272
15,"M Cabrera*","DET","1B",160,611,96,198,0.324
16,"M Teixeira*","NYY","1B",156,609,103,178,0.292
17,"B Butler*","KC","1B",159,608,78,183,0.301
18,"C Crawford*","TB","OF",156,606,96,185,0.305
19,"M Cuddyer*","MIN","OF",153,588,93,162,0.276
20,"V Martinez*","BOS","C",155,588,88,178,0.303
21,"A Lind*","TOR","DH",151,587,93,179,0.305
22,"E Longoria*","TB","3B",157,584,100,164,0.281
23,"S Choo*","CLE","OF",156,583,87,175,0.3
24,"J Peralta*","CLE","3B",151,582,57,148,0.254
25,"A Rios*","CWS","OF",149,582,63,144,0.247
26,"D Span*","MIN","OF",145,578,97,180,0.311
27,"A Callaspo*","KC","2B",155,576,79,173,0.3
28,"M Scutaro*","TOR","SS",144,574,100,162,0.282
29,"K Suzuki*","OAK","C",147,570,74,156,0.274
30,"I Kinsler*","TEX","2B",144,566,101,143,0.253
31,"K Morales*","LAA","1B",152,566,86,173,0.306
32,"F Gutierrez*","SEA","OF",153,565,85,160,0.283
33,"B Abreu*","LAA","OF",152,563,96,165,0.293
34,"B Inge*","DET","3B",161,562,71,129,0.23
35,"B Upton*","TB","OF",144,560,79,135,0.241
36,"D DeJesus*","KC","OF",144,558,74,157,0.281
37,"J Damon*","NYY","OF",143,550,107,155,0.282
38,"M Byrd*","TEX","OF",146,547,66,155,0.283
39,"P Konerko*","CWS","1B",152,546,75,151,0.277
40,"A Ramirez*","CWS","SS",148,542,71,150,0.277
41,"D Ortiz*","BOS","DH",150,541,77,129,0.238
42,"M Young*","TEX","3B",135,541,76,174,0.322
43,"S Podsednik*","CWS","OF",132,537,75,163,0.304
44,"A Huff*","DET","DH",150,536,59,129,0.241
45,"J Bay*","BOS","OF",151,531,103,142,0.267
46,"A Kennedy*","OAK","3B",129,529,65,153,0.289
47,"J Rivera*","LAA","OF",138,529,72,152,0.287
48,"M Teahen*","KC","3B",144,524,69,142,0.271
49,"A Cabrera*","CLE","SS",131,523,81,161,0.308
50,"J Mauer*","MIN","C",138,523,94,191,0.365
51,"J Kubel*","MIN","DH",146,514,73,154,0.3
52,"J Cust*","OAK","DH",149,513,88,123,0.24
53,"J Morneau*","MIN","1B",135,508,85,139,0.274
54,"E Aybar*","LAA","SS",137,504,70,157,0.312
55,"A Pierzynski*","CWS","C",138,504,57,151,0.3
56,"J Dye*","CWS","OF",141,503,78,126,0.25
57,"B Zobrist*","TB","2B",152,501,91,149,0.297
58,"J Bartlett*","TB","SS",137,500,90,160,0.32
59,"N Swisher*","NYY","OF",150,498,84,124,0.249
60,"K Youkilis*","BOS","1B",136,491,99,150,0.305
61,"M Cabrera*","NYY","OF",154,485,66,133,0.274
62,"R Sweeney*","OAK","OF",134,484,68,142,0.293
63,"E Andrus*","TEX","SS",145,480,72,128,0.267
64,"A Jones*","BAL","OF",119,473,83,131,0.277
65,"C Pena*","TB","1B",135,471,91,107,0.227
66,"Y Betancourt*","KC","SS",134,470,40,115,0.245
67,"M Ordonez*","DET","OF",131,465,54,144,0.31
68,"H Blalock*","TEX","1B",123,462,62,108,0.234
69,"N Cruz*","TEX","OF",128,462,75,120,0.26
70,"H Matsui*","NYY","DH",142,456,62,125,0.274
71,"J Drew*","BOS","OF",137,452,84,126,0.279
72,"T Hunter*","LAA","OF",119,451,74,135,0.299
73,"M Mora*","BAL","3B",125,450,44,117,0.26
74,"A Beltre*","SEA","3B",111,449,54,119,0.265
75,"L Scott*","BAL","DH",128,449,61,116,0.258
76,"M Lowell*","BOS","3B",119,445,54,129,0.29
77,"A Rodriguez*","NYY","3B",124,444,78,127,0.286
78,"G Sizemore*","CLE","OF",106,436,73,108,0.248
79,"W Bloomquist*","KC","OF",125,434,52,115,0.265
80,"M Jacobs*","KC","DH",128,434,46,99,0.228
81,"D Murphy*","TEX","OF",128,432,61,116,0.269
82,"R Branyan*","SEA","1B",116,431,64,108,0.251
83,"R Barajas*","TOR","C",125,429,43,97,0.226
84,"L Overbay*","TOR","1B",132,423,57,112,0.265
85,"B Harris*","MIN","SS",123,414,44,108,0.261
86,"G Laird*","DET","C",135,413,49,93,0.225
87,"P Burrell*","TB","DH",122,412,45,91,0.221
88,"T Wigginton*","BAL","1B",122,410,44,112,0.273
89,"D Young*","MIN","OF",108,395,50,112,0.284
90,"C Davis*","TEX","1B",113,391,48,93,0.238
91,"R Davis*","OAK","OF",125,390,65,119,0.305
92,"M Olivo*","KC","C",114,390,51,97,0.249
93,"K Griffey","SEA","DH",117,387,44,83,0.214
94,"M Izturis*","LAA","2B",114,387,74,116,0.3
95,"C Izturis*","BAL","SS",114,387,34,99,0.256
96,"V Guerrero*","LAA","DH",100,383,59,113,0.295
97,"J Posada*","NYY","C",111,383,55,109,0.285
98,"M Napoli*","LAA","C",114,382,60,104,0.272
99,"G Beckham*","CWS","3B",103,378,58,102,0.27
100,"M Ellis*","OAK","2B",105,377,52,99,0.263
101,"D Navarro*","TB","C",115,376,38,82,0.218
102,"C Getz*","CWS","2B",107,375,49,98,0.261
103,"H Kendrick*","LAA","2B",105,374,61,109,0.291
104,"L Valbuena*","CLE","2B",103,368,52,92,0.25
105,"J Varitek*","BOS","C",109,364,41,76,0.209
106,"N Punto*","MIN","2B",125,359,56,82,0.228
107,"N Reimold*","BAL","OF",104,358,49,100,0.279
108,"M Wieters*","BAL","C",96,354,35,102,0.288
109,"C Quentin*","CWS","OF",99,351,47,83,0.236
110,"M Holliday*","OAK","OF",93,346,52,99,0.286
111,"A Everett*","DET","SS",118,345,43,82,0.238
112,"J Thome*","CWS","DH",107,345,55,86,0.249
113,"M Maier*","KC","OF",127,341,42,83,0.243
114,"T Hafner*","CLE","DH",94,338,46,92,0.272
115,"S Rolen*","TOR","3B",88,338,52,108,0.32
116,"J Bautista*","TOR","OF",113,336,54,79,0.235
117,"J Hamilton*","TEX","OF",89,336,43,90,0.268
118,"J Crede*","MIN","3B",90,333,42,75,0.225
119,"G Matthews*","LAA","OF",103,316,44,79,0.25
120,"J Carroll*","CLE","2B",93,315,53,87,0.276
121,"C Gomez*","MIN","OF",137,315,51,72,0.229
122,"B Francisco*","CLE","OF",89,308,48,77,0.25
123,"W Aybar*","TB","1B",105,296,38,75,0.253
124,"J Anderson*","KC","OF",118,283,42,68,0.24
125,"J Saltalamacchia*","TEX","C",84,283,34,66,0.233
126,"G Gross*","TB","OF",115,282,31,64,0.227
127,"J Guillen*","KC","OF",81,281,30,68,0.242
128,"A Jones*","TEX","DH",82,281,43,60,0.214
129,"M DeRosa*","CLE","3B",71,278,47,75,0.27
130,"C Guillen*","DET","OF",81,277,36,67,0.242
131,"N Green*","BOS","SS",103,276,35,65,0.236
132,"C Thomas*","DET","OF",102,275,46,66,0.24
133,"K Shoppach*","CLE","C",89,271,33,58,0.214
134,"J Giambi*","OAK","1B",83,269,39,52,0.193
135,"J Hannahan*","SEA","3B",103,267,27,57,0.213
136,"R Santiago*","DET","SS",93,262,29,70,0.267
137,"G Zaun*","TB","C",90,262,34,68,0.26
138,"R Raburn*","DET","OF",113,261,44,76,0.291
139,"R Johnson*","SEA","C",80,258,21,55,0.213
140,"M Thames*","DET","DH",87,258,33,65,0.252
141,"J Nix*","CWS","2B",94,255,36,57,0.224
142,"F Pie*","BAL","OF",101,252,38,67,0.266
143,"K Millar*","TOR","1B",78,251,29,56,0.223
144,"B Gardner*","NYY","OF",108,248,48,67,0.27
145,"M Sweeney*","SEA","DH",74,242,25,68,0.281
146,"T Snider*","TOR","OF",77,241,34,58,0.241
147,"J Fields*","CWS","3B",79,239,29,53,0.222
148,"R Garko*","CLE","1B",78,239,29,68,0.285
149,"K Johjima*","SEA","C",71,239,24,59,0.247
150,"B Crosby*","OAK","1B",97,238,35,53,0.223
151,"J Mathis*","LAA","C",84,237,26,50,0.211
152,"S Hairston*","OAK","OF",60,233,24,55,0.236
153,"A Iwamura*","TB","2B",69,231,28,67,0.29
154,"A Casilla*","MIN","2B",80,228,25,46,0.202
155,"C Pennington*","OAK","SS",60,208,27,58,0.279
156,"G Kapler*","TB","OF",99,205,26,49,0.239
157,"B Anderson*","BOS","OF",86,202,32,49,0.243
158,"R Andino*","BAL","SS",78,198,31,44,0.222
159,"T Teagarden*","TEX","C",60,198,26,43,0.217
160,"M Tolbert*","MIN","2B",71,198,28,46,0.232
161,"M Kotsay*","CWS","1B",67,187,16,52,0.278
162,"J Buck*","KC","C",59,186,16,46,0.247
163,"R Cedeno*","SEA","SS",59,186,15,31,0.167
164,"T Crowe*","CLE","OF",68,183,22,43,0.235
165,"M LaPorta*","CLE","OF",52,181,29,46,0.254
166,"C Crisp*","KC","OF",49,180,30,41,0.228
167,"O Vizquel*","TEX","SS",62,177,17,47,0.266
168,"B Pena*","KC","C",64,165,17,45,0.273
169,"A Gordon*","KC","3B",49,164,28,38,0.232
170,"E Chavez*","SEA","OF",54,161,17,44,0.273
171,"D Barton*","OAK","1B",54,160,31,43,0.269
172,"N Garciaparra","OAK","DH",65,160,17,45,0.281
173,"R Chavez*","TOR","C",51,159,10,41,0.258
174,"J Borbon*","TEX","DH",46,157,30,49,0.312
175,"W Balentien*","SEA","OF",56,155,18,33,0.213
176,"A Marte*","CLE","1B",47,155,20,36,0.232
177,"E Encarnacion*","TOR","3B",42,154,25,37,0.24
178,"J McDonald*","TOR","SS",73,151,18,39,0.258
179,"R Baldelli*","BOS","OF",62,150,23,38,0.253
180,"A Gonzalez*","BOS","SS",44,148,26,42,0.284
181,"D Wise*","CWS","OF",84,142,17,32,0.225
182,"L Powell*","OAK","C",46,140,19,32,0.229
183,"J Molina*","NYY","C",52,138,15,30,0.217
184,"B Buscher*","MIN","3B",61,136,14,32,0.235
185,"M Redmond*","MIN","C",45,135,9,32,0.237
186,"J Wilson*","SEA","SS",45,128,16,32,0.25
187,"M Saunders*","SEA","OF",46,122,13,27,0.221
188,"M Aviles*","KC","SS",36,120,10,22,0.183
189,"B Hall*","SEA","OF",34,120,10,24,0.2
190,"J Morales*","MIN","C",54,119,14,37,0.311
191,"R Pena*","NYY","SS",69,115,17,33,0.287
192,"R Quinlan*","LAA","OF",54,115,13,28,0.243
193,"R Ruiz*","TOR","DH",33,115,25,36,0.313
194,"M Brantley*","CLE","OF",28,112,10,35,0.313
