"ID","Player","TEAM","POS","G","AB","R","H","AVG"
1,"J Rollins*","PHI","SS",155,672,100,168,0.25
2,"R Braun*","MIL","OF",158,635,113,203,0.32
3,"M Tejada*","HOU","SS",158,635,83,199,0.313
4,"S Victorino*","PHI","OF",156,620,102,181,0.292
5,"R Howard*","PHI","1B",160,616,105,172,0.279
6,"R Furcal*","LAD","SS",150,613,92,165,0.269
7,"C Lee*","HOU","OF",160,610,65,183,0.3
8,"R Zimmerman*","WSH","3B",157,610,110,178,0.292
9,"M Bourn*","HOU","OF",157,606,97,173,0.285
10,"M Kemp*","LAD","OF",159,606,97,180,0.297
11,"F Lopez*","MIL","2B",151,604,88,187,0.31
12,"R Theriot*","CHC","SS",154,602,81,171,0.284
13,"A Ethier*","LAD","OF",160,596,92,162,0.272
14,"J Francoeur*","NYM","OF",157,593,72,166,0.28
15,"P Fielder*","MIL","1B",162,591,103,177,0.299
16,"J Cantu*","FLA","1B",149,585,67,169,0.289
17,"H Pence*","HOU","OF",159,585,76,165,0.282
18,"B Phillips*","CIN","2B",153,584,78,161,0.276
19,"P Feliz*","PHI","3B",158,580,62,154,0.266
20,"M Reynolds*","ARI","3B",155,578,98,150,0.26
21,"J Loney*","LAD","1B",158,576,73,162,0.281
22,"H Ramirez*","FLA","SS",151,576,101,197,0.342
23,"P Sandoval*","SF","3B",153,572,79,189,0.33
24,"C Utley*","PHI","2B",156,571,112,161,0.282
25,"J Werth*","PHI","OF",159,571,98,153,0.268
26,"A Pujols*","STL","1B",160,568,124,186,0.327
27,"D Uggla*","FLA","2B",158,564,84,137,0.243
28,"C Ross*","FLA","OF",151,559,73,151,0.27
29,"A Gonzalez*","SD","1B",160,552,90,153,0.277
30,"O Hudson*","LAD","2B",149,551,74,156,0.283
31,"C Barmes*","COL","2B",154,550,69,135,0.245
32,"A Dunn*","WSH","OF",159,546,81,146,0.267
33,"M Cameron*","MIL","OF",149,544,78,136,0.25
34,"T Helton*","COL","1B",151,544,79,177,0.325
35,"C Headley*","SD","OF",156,543,62,142,0.262
36,"T Tulowitzki*","COL","SS",151,543,101,161,0.297
37,"R Winn*","SF","OF",149,538,65,141,0.262
38,"A LaRoche*","ATL","1B",144,536,76,149,0.278
39,"D Wright*","NYM","3B",144,535,88,164,0.307
40,"S Drew*","ARI","SS",135,533,71,139,0.261
41,"D Lee*","CHC","1B",141,532,91,163,0.306
42,"S Schumaker*","STL","2B",153,532,85,161,0.303
43,"C Guzman*","WSH","SS",135,531,74,151,0.284
44,"K Kouzmanoff*","SD","3B",141,529,50,135,0.255
45,"Y Escobar*","ATL","SS",141,528,89,158,0.299
46,"J Upton*","ARI","OF",138,526,84,158,0.3
47,"A LaRoche*","PIT","3B",150,524,64,135,0.258
48,"D Murphy*","NYM","1B",155,508,60,135,0.266
49,"N McLouth*","ATL","OF",129,507,86,130,0.256
50,"R Martin*","LAD","C",143,505,63,126,0.25
51,"C Coghlan*","FLA","OF",128,504,84,162,0.321
52,"D Eckstein*","SD","2B",136,503,64,131,0.26
53,"B Hawpe*","COL","OF",145,501,82,143,0.285
54,"R Ibanez*","PHI","OF",134,500,93,136,0.272
55,"K Fukudome*","CHC","OF",146,499,79,129,0.259
56,"A Rowand*","SF","OF",144,499,61,130,0.261
57,"G Anderson*","ATL","OF",135,496,52,133,0.268
58,"B Molina*","SF","C",132,491,52,130,0.265
59,"C Jones*","ATL","3B",143,488,80,129,0.264
60,"B McCann*","ATL","C",138,488,63,137,0.281
61,"L Castillo*","NYM","2B",142,486,77,147,0.302
62,"R Ludwick*","STL","OF",139,486,63,129,0.265
63,"C Blake*","LAD","3B",139,485,84,136,0.28
64,"Y Molina*","STL","C",140,481,45,141,0.293
65,"A Soriano*","CHC","OF",117,477,64,115,0.241
66,"K Matsui*","HOU","2B",132,476,56,119,0.25
67,"C Rasmus*","STL","OF",147,474,72,119,0.251
68,"N Morgan*","WSH","OF",120,469,74,144,0.307
69,"J Votto*","CIN","1B",131,469,82,151,0.322
70,"E Bonifacio*","FLA","3B",127,461,72,116,0.252
71,"L Berkman*","HOU","1B",136,460,73,126,0.274
72,"E Renteria*","SF","SS",124,460,50,115,0.25
73,"N Johnson*","FLA","1B",133,457,71,133,0.291
74,"F Sanchez*","SF","2B",111,457,56,134,0.293
75,"G Parra*","ARI","OF",120,455,59,132,0.29
76,"J Kendall*","MIL","C",134,452,48,109,0.241
77,"M Prado*","ATL","2B",128,450,64,138,0.307
78,"D Fowler*","COL","OF",135,433,73,115,0.266
79,"A McCutchen*","PIT","OF",108,433,74,124,0.286
80,"C Young*","ARI","OF",134,433,54,92,0.212
81,"J Hermida*","FLA","OF",129,429,48,111,0.259
82,"J Willingham*","WSH","OF",133,427,70,111,0.26
83,"M Montero*","ARI","C",128,425,61,125,0.294
84,"I Stewart*","COL","3B",147,425,74,97,0.228
85,"C Hart*","MIL","OF",115,419,64,109,0.26
86,"J Hardy*","MIL","SS",115,414,53,95,0.229
87,"C Counsell*","MIL","2B",130,404,61,115,0.285
88,"W Taveras*","CIN","OF",102,404,56,97,0.24
89,"J Uribe*","SF","3B",122,398,50,115,0.289
90,"M Bradley*","CHC","OF",124,393,61,101,0.257
91,"T Gwynn*","SD","OF",119,393,59,106,0.27
92,"B Ryan*","STL","SS",129,390,55,114,0.292
93,"B Moss*","PIT","OF",133,385,47,91,0.236
94,"G Blum*","HOU","3B",120,381,34,94,0.247
95,"J Pierre*","LAD","OF",145,380,57,117,0.308
96,"E Cabrera*","SD","SS",103,377,59,96,0.255
97,"M Fontenot*","CHC","2B",135,377,38,89,0.236
98,"J Baker*","FLA","C",112,373,59,101,0.271
99,"R Ankiel*","STL","OF",122,372,50,86,0.231
100,"M Diaz*","ATL","OF",125,371,56,116,0.313
