"Code","SalePrice","Apartments","Age","LotSize","ParkSpaces","BldArea","Condition"
229,90300,4,82,4365,0,4266,"F"
94,384000,20,13,17798,0,14391,"G"
43,157500,5,66,5913,0,6615,"G"
79,676200,26,64,7750,6,34144,"E"
134,165000,5,55,5150,0,6120,"G"
179,300000,10,65,12506,0,14552,"G"
87,108750,4,82,7160,0,3040,"G"
120,276538,11,23,5120,0,7881,"G"
246,420000,20,18,11745,20,12600,"G"
25,950000,62,71,21000,3,39448,"G"
15,560000,26,74,11221,0,30000,"G"
131,268000,13,56,7818,13,8088,"F"
172,290000,9,76,4900,0,11315,"E"
95,173200,6,21,5424,6,4461,"G"
121,323650,11,24,11834,8,9000,"G"
77,162500,5,19,5246,5,3828,"G"
60,353500,20,62,11223,2,13680,"F"
174,134400,4,70,5834,0,4680,"E"
84,187000,8,19,9075,0,7392,"G"
31,155700,4,57,5280,0,6030,"E"
19,93600,4,82,6864,0,3840,"F"
74,110000,4,50,4510,0,3092,"G"
57,573200,14,10,11192,0,23704,"E"
104,79300,4,82,7425,0,3876,"F"
24,272000,5,82,7500,0,9542,"E"
