"GROUP","SET","NUMBER"
3,"FIRST",3
3,"FIRST",3
3,"FIRST",4
3,"FIRST",4
3,"FIRST",3
3,"FIRST",5
3,"FIRST",4
3,"FIRST",4
3,"FIRST",6
3,"FIRST",5
3,"MIDDLE",2
3,"MIDDLE",3
3,"MIDDLE",1
3,"MIDDLE",2
3,"MIDDLE",1
3,"MIDDLE",1
3,"MIDDLE",0
3,"MIDDLE",0
3,"MIDDLE",3
3,"MIDDLE",3
3,"LAST",2
3,"LAST",2
3,"LAST",0
3,"LAST",1
3,"LAST",1
3,"LAST",2
3,"LAST",1
3,"LAST",3
3,"LAST",2
3,"LAST",1
6,"FIRST",1
6,"FIRST",3
6,"FIRST",4
6,"FIRST",1
6,"FIRST",1
6,"FIRST",3
6,"FIRST",0
6,"FIRST",4
6,"FIRST",3
6,"FIRST",3
6,"MIDDLE",1
6,"MIDDLE",1
6,"MIDDLE",1
6,"MIDDLE",3
6,"MIDDLE",1
6,"MIDDLE",2
6,"MIDDLE",2
6,"MIDDLE",1
6,"MIDDLE",0
6,"MIDDLE",1
6,"LAST",0
6,"LAST",1
6,"LAST",1
6,"LAST",0
6,"LAST",1
6,"LAST",1
6,"LAST",1
6,"LAST",0
6,"LAST",2
6,"LAST",0
12,"FIRST",3
12,"FIRST",2
12,"FIRST",2
12,"FIRST",3
12,"FIRST",2
12,"FIRST",5
12,"FIRST",2
12,"FIRST",2
12,"FIRST",4
12,"FIRST",1
12,"MIDDLE",1
12,"MIDDLE",2
12,"MIDDLE",0
12,"MIDDLE",2
12,"MIDDLE",0
12,"MIDDLE",3
12,"MIDDLE",1
12,"MIDDLE",1
12,"MIDDLE",1
12,"MIDDLE",2
12,"LAST",2
12,"LAST",1
12,"LAST",1
12,"LAST",0
12,"LAST",0
12,"LAST",1
12,"LAST",2
12,"LAST",1
12,"LAST",2
12,"LAST",1
