"julian-date","icetype","depth","broadband-alb","visible-alb","pond-num"
147,3,0.09,0.4,0.62,1
147,3,0,0.51,0.64,2
148,1,0.03,0.48,0.67,3
148,1,0.03,0.42,0.59,4
148,1,0.04,0.43,0.56,5
148,1,0.02,0.44,0.59,6
148,1,0.02,0.51,0.67,7
149,1,0.04,0.35,0.52,8
149,1,0.03,0.42,0.62,9
149,2,0.13,0.38,0.5,10
149,2,0.07,0.31,0.49,11
149,2,0.08,0.31,0.5,12
149,2,0.13,0.29,0.45,13
149,2,0.1,0.28,0.45,14
149,1,0.05,0.49,0.66,15
149,1,0.02,0.46,0.59,16
150,2,0.41,0.21,0.32,17
150,2,0.12,0.3,0.46,18
150,2,0.09,0.14,0.19,19
150,2,0.11,0.25,0.38,20
150,2,0.1,0.33,0.51,21
150,2,0.12,0.34,0.55,22
150,2,0.12,0.32,0.53,23
150,2,0.12,0.35,0.58,24
150,2,0.1,0.4,0.64,25
150,2,0.09,0.36,0.56,26
150,1,0.02,0.5,0.66,27
150,1,0.05,0.45,0.65,28
150,1,0.04,0.46,0.65,29
150,1,0.03,0.51,0.69,30
150,1,0.03,0.43,0.6,31
150,1,0.04,0.4,0.57,32
150,1,0.06,0.38,0.54,33
150,1,0.06,0.32,0.46,34
151,2,0.13,0.26,0.43,35
151,2,0.18,0.24,0.4,36
151,2,0.18,0.24,0.4,37
151,2,0.15,0.22,0.36,38
151,2,0.14,0.35,0.6,39
151,2,0.13,0.37,0.62,40
151,2,0.12,0.42,0.62,41
151,2,0.11,0.27,0.46,42
151,2,0.14,0.29,0.49,43
151,2,0.17,0.37,0.63,44
151,2,0.18,0.29,0.5,45
151,2,0.21,0.33,0.58,46
151,2,0.17,0.39,0.67,47
151,2,0.12,0.32,0.53,48
151,2,0.11,0.36,0.59,49
151,2,0.14,0.37,0.63,50
151,2,0.14,0.31,0.53,51
151,3,0.07,0.34,0.57,52
151,3,0.08,0.33,0.55,53
151,3,0.18,0.31,0.54,54
151,3,0.21,0.3,0.53,55
151,3,0.18,0.31,0.55,56
151,3,0.22,0.21,0.39,57
151,3,0.27,0.21,0.4,58
151,3,0.32,0.2,0.37,59
151,3,0.33,0.12,0.23,60
151,3,0.06,0.33,0.55,61
151,3,0.05,0.43,0.68,62
151,3,0.4,0.26,0.48,63
151,3,0.51,0.24,0.47,64
151,3,0.72,0.24,0.46,65
151,3,0.79,0.22,0.44,66
151,3,0.86,0.23,0.46,67
153,3,0.1,0.24,0.37,68
153,3,0.08,0.25,0.37,69
153,3,0.04,0.26,0.38,70
153,3,0.08,0.28,0.42,71
153,3,0.09,0.36,0.5,72
153,3,0.21,0.28,0.43,73
153,3,0.08,0.26,0.4,74
153,3,0.1,0.26,0.4,75
153,3,0.26,0.17,0.27,76
153,3,0.1,0.23,0.35,77
153,3,0.24,0.3,0.49,78
153,3,0.18,0.19,0.3,79
153,3,0.09,0.18,0.28,80
153,3,0.09,0.26,0.41,81
154,3,0.18,0.36,0.58,82
154,3,0.26,0.33,0.55,83
154,3,0.32,0.33,0.56,84
154,3,0.4,0.33,0.57,85
154,3,0.39,0.36,0.62,86
154,3,0.36,0.34,0.59,87
154,3,0.39,0.3,0.51,88
154,3,0.35,0.32,0.54,89
154,3,0.36,0.32,0.54,90
154,3,0.28,0.33,0.56,91
154,3,0.26,0.35,0.6,92
154,3,0.25,0.4,0.67,93
154,3,0.31,0.22,0.37,94
154,3,0.37,0.32,0.55,95
154,3,0.21,0.25,0.4,96
154,3,0.11,0.37,0.56,97
154,3,0.28,0.31,0.49,98
154,3,0.5,0.25,0.43,99
154,3,0.56,0.23,0.39,100
154,3,0.65,0.27,0.47,101
