"STIMULUS","TIME"
"NT",2
"NT",1.8
"NT",2.3
"NT",2.1
"NT",2
"NT",2.2
"NT",2.1
"NT",2.2
"NT",2.1
"NT",2.1
"NT",2
"NT",2
"NT",1.8
"NT",1.9
"NT",2.2
"NT",2
"NT",2.2
"NT",2.4
"NT",2.1
"NT",2
"NT",2.2
"NT",2.1
"NT",2.2
"NT",1.9
"NT",1.7
"NT",2
"NT",2
"NT",2.3
"NT",2.1
"NT",1.9
"NT",2
"NT",2.2
"NT",1.6
"NT",2.1
"NT",2.3
"NT",2
"NT",2
"NT",2
"NT",2.2
"NT",2.6
"NT",2
"NT",2
"NT",1.9
"NT",1.9
"NT",2.2
"NT",2.3
"NT",1.8
"NT",1.7
"NT",1.7
"NT",1.8
"T",1.8
"T",1.7
"T",1.4
"T",2.1
"T",1.3
"T",1.5
"T",1.6
"T",1.8
"T",1.5
"T",1.4
"T",1.4
"T",2
"T",1.5
"T",1.8
"T",1.4
"T",1.7
"T",1.7
"T",1.7
"T",1.4
"T",1.9
"T",1.9
"T",1.7
"T",1.6
"T",2.5
"T",1.6
"T",1.6
"T",1.8
"T",1.7
"T",1.9
"T",1.9
"T",1.5
"T",1.8
"T",1.6
"T",1.9
"T",1.3
"T",1.5
"T",1.6
"T",1.5
"T",1.6
"T",1.5
"T",1.3
"T",1.7
"T",1.3
"T",1.7
"T",1.7
"T",1.8
"T",1.6
"T",1.7
"T",1.7
"T",1.7
