"STATE","SAT2005","SAT2009"
"Alabama",1126,1109
"Alaska",1042,1036
"Arizona",1056,1037
"Arkansas",1115,1144
"California",1026,1013
"Colorado",1120,1143
"Connecticu",1034,1024
"Delaware",1005,993
"D.C.",968,917
"Florida",996,995
"Georgia",993,981
"Hawaii",1006,981
"Idaho",1086,1081
"Illinois",1200,1192
"Indiana",1012,1003
"Iowa",1204,1225
"Kansas",1173,1170
"Kentucky",1120,1146
"Louisiana",1127,1121
"Maine",1014,935
"Maryland",1026,1002
"Massachuse",1047,1040
"Michigan",1147,1187
"Minnesota",1189,1204
"Mississipp",1118,1121
"Missouri",1176,1195
"Montana",1080,1083
"Nebraska",1153,1181
"Nevada",1021,1006
"NHampshire",1050,1046
"NJersey",1020,1009
"NMexico",1105,1099
"NewYork",1018,987
"NCarolina",1010,1006
"NDakota",1195,1183
"Ohio",1082,1083
"Oklahoma",1133,1146
"Oregon",1054,1048
"Pennsylvan",1004,994
"RIsland",1008,994
"SCarolina",993,982
"SDakota",1178,1189
"Tennessee",1135,1136
"Texas",995,992
"Utah",1123,1117
"Vermont",1038,1036
"Virginia",1030,1033
"Washington",1066,1055
"WestVA",1034,1012
"Wisconsin",1191,1202
"Wyoming",1087,1135
