"DecrTime","Status"
0.32,"Improve"
-0.01,"Not"
0.15,"Improve"
0.01,"Improve"
0.1,"Improve"
0.34,"Improve"
0.3,"Improve"
0.9,"Improve"
0.1,"Improve"
0.3,"Improve"
0.02,"Improve"
0.34,"Improve"
0.24,"Improve"
0.09,"Improve"
0.12,"Improve"
0.38,"Improve"
0.25,"Improve"
0.05,"Improve"
0.14,"Improve"
0.44,"Improve"
0.05,"Improve"
0,"Not"
0.1,"Improve"
0.08,"Improve"
0.28,"Improve"
0.04,"Improve"
0.08,"Improve"
0,"Not"
0.25,"Improve"
0.17,"Improve"
0.5,"Improve"
0,"Not"
0.2,"Improve"
0,"Not"
0.36,"Improve"
0.14,"Improve"
0.21,"Improve"
0.1,"Improve"
