"SAMPLE","HMETER","HSTATIC"
1,1.08655,1.09103
2,1.0027,1.00272
3,1.01393,1.01274
4,1.09467,1.09634
5,1.10263,1.10518
6,1.086,1.0859
7,1.09065,1.09391
8,1.00269,1.0021
9,1.05357,1.05399
10,1.00884,1.00788
11,0.99471,0.99448
12,1.09247,1.09404
13,1.01479,1.01438
14,1.09058,1.09395
15,1.00394,1.00394
16,1.0889,1.08997
17,1.03612,1.03579
18,0.99361,0.99298
19,1.0188,1.01997
20,1.09162,1.09176
21,1.0905,1.09252
22,1.00876,1.00842
23,1.04461,1.04381
24,1.0927,1.09367
25,1.02764,1.02736
26,1.00955,1.01026
27,1.03161,1.03269
28,1.00042,1.00114
29,0.99385,0.99417
30,1.08267,1.08335
31,1.0178,1.01791
32,0.99355,0.99488
33,1.00964,1.01037
34,0.99381,0.99394
35,1.06747,1.06623
36,1.08084,1.08097
37,1.09452,1.09431
38,0.99479,0.99498
39,1.00968,1.01063
40,1.00684,1.00526
