"Gender","Group","Deviation","Judge"
"Female","Waitres",7,"More5Above"
"Female","Waitres",10,"More5Above"
"Female","Waitres",25,"More5Above"
"Female","Waitres",8,"More5Above"
"Female","Waitres",10,"More5Above"
"Female","Waitres",8,"More5Above"
"Female","Waitres",12,"More5Above"
"Female","Waitres",9,"More5Above"
"Female","Waitres",35,"More5Above"
"Female","Waitres",10,"More5Above"
"Female","Waitres",12,"More5Above"
"Female","Waitres",11,"More5Above"
"Female","Waitres",7,"More5Above"
"Female","Waitres",10,"More5Above"
"Female","Waitres",21,"More5Above"
"Female","Waitres",-1,"Within5"
"Female","Waitres",4,"Within5"
"Female","Waitres",0,"Within5"
"Female","Waitres",16,"Within5"
"Female","Waitres",-1,"Within5"
"Male","Bartend",-9,"More5Below"
"Male","Bartend",6,"More5Above"
"Male","Bartend",10,"More5Above"
"Male","Bartend",6,"More5Above"
"Male","Bartend",10,"More5Above"
"Male","Bartend",-3,"More5Above"
"Male","Bartend",7,"More5Above"
"Male","Bartend",8,"More5Above"
"Male","Bartend",6,"More5Above"
"Male","Bartend",14,"More5Above"
"Male","Bartend",7,"More5Above"
"Male","Bartend",8,"More5Above"
"Male","Bartend",-5,"Within5"
"Male","Bartend",2,"Within5"
"Male","Bartend",-1,"Within5"
"Male","Bartend",0,"Within5"
"Male","Bartend",2,"Within5"
"Male","Bartend",3,"Within5"
"Male","Bartend",0,"Within5"
"Male","Bartend",2,"Within5"
