Inflammation,Dose,DoseSq
8.34,0.51,0.2601
8.71,0.64,0.4096
11.71,0.67,0.4489
7.21,0.85,0.7225
5.58,1.08,1.1664
9.82,1.09,1.1881
7.12,1.55,2.4025
6.41,2.13,4.5369
8.89,2.77,7.6729
5.15,2.78,7.7284
7.99,2.97,8.8209
6.3,3.49,12.1801
6.53,3.79,14.3641
5.64,3.9,15.21
7.15,3.93,15.4449
5.71,4.64,21.5296
4.87,4.96,24.6016
3.82,5.39,29.0521
6.44,5.54,30.6916
6.7,5.56,30.9136
5.66,5.6,31.36
4.12,5.81,33.7561
6.23,6.04,36.4816
3.13,6.05,36.6025
5.17,6.41,41.0881
3.01,6.42,41.2164
4.6,7.09,50.2681
4.13,7.12,50.6944
4.38,7.2,51.84
4.69,7.4,54.76
4.21,8.14,66.2596
4.91,8.15,66.4225
3.7,8.54,72.9316
3.61,8.87,78.6769
4.07,9.99,99.8001
4.04,10.05,101.0025
3.78,10.2,104.04
4.19,10.37,107.5369
4.11,10.47,109.6209
4.06,10.48,109.8304
