Vol Over C 
2853 37 69 
2702 36.5 65 
3099 38.5 73 
1306 26.5 62.5 
2294 35 70 
2725 36.5 68 
3309 39.25 71 
2790 36.75 64 
2756 38.5 62 
5237.92 43 80 
3149.82 37.6 67 
5498.46 44.6 79 
3397.83 38 66 
3007.56 36.8 62 
4574.29 41.1 79 
6228.59 48 73 
2318.64 30.2 63 
3176.71 37.75 68 
2352.31 32.5 70 
2174.44 31.62 69 
2694.72 34.5 73 
3333.53 37.25 70 
4328.92 40 78.5 
2115.04 31.25 67 
2489.08 33.75 66.5 
2296.65 32.38 64.5 
3117.21 37.58 65.5 
4088.36 40.33 74 
4180.88 40.5 72 
2318.19 33 63 
1946.9 31 58 
2479.89 36.5 61 
3174.8 37 73 
2151.54 33 64 
3475.68 39.5 73 
4393.08 42 71 
2819.5 35 69 
3703.49 38.5 70 
2742.81 34.5 72.5 
3002.4 35.5 66 
1854.19 30.5 69 
1982.07 31 62 
2470.86 33.5 65 
1203.15 26.25 60.1 
2843.84 36 71 
2636.25 36 66 
1998.39 32 65 
2005.03 32 64 
2568.76 35 66 
2161.18 32.5 65 
2112.2 32 67 
3009.33 38 65 
1992.24 31 63 
2746.98 34 70 
2238.27 35 64 
1747.47 30 67 
2863.91 36 67 
3593.47 39 72 
2435.48 35 62 
2430.18 34 63 
2590.07 35 67 
3577.68 41 70 
3299.24 40 73 
1986.14 32.5 64 
3109.04 38 68 
2821.56 37 71 
2932.24 38 67 
3304.63 38 68 
2565.46 35 72 
4509.93 41.33 74 
4804.01 42 81 
4241.8 40.75 75 
4516.1 43.25 69.2 
5011.62 43.1 77.5 
2110.73 31.5 65 
2775.7 34.6 76 
3927.9 39 72 
4212.77 41.5 80 
3562.64 38.5 78.5 
2853.96 35.5 75 
3294.38 38 69 
1689.54 30.5 63 
2228.84 33 62 
2362.61 34 64 
3088.28 38.5 68 
3820.79 40 70 
3126.64 36.9 63 
3624.75 38.45 71 
3023.97 36.5 73 
6045.42 47 79 
3100.11 37 64 
3378.07 38 70 
3040.29 35 77 
2252.16 32.5 65 
3552.61 37 76 
2635.9 34.5 66 
3201.41 35.5 71 
2590.21 35 69 
3743.55 38.25 76 
3858.03 39.5 73 
3829.44 39.75 74 
2556.44 33 66 
3119.07 36 69 
2122.38 32 65.5 
2921.92 36 69 
2936.35 34.5 72.5 
2427.66 33 76 
2069.38 31.5 65 
1899.54 30 72 
4289.28 40.5 78.5 
2407.39 32.5 67.5 
3097.99 35.5 66 
3893.67 39.25 75.5 
2238.66 31.75 68 
2314.79 33.1 64 
2667.07 34.7 66 
2582.07 33.5 68 
3426.5 37 75 
2307.34 33.4 60 
3960.41 39.3 76 
