dataset = Jugo_Naranja
begin description
Datos de un fabricante de jugos de naranja. Los datos son reales. 
Por razones de confidencialidad, el fabricante no puede ser dado a conocer.
end description
begin variables
Col 0 = Caso 
Col 1 = Dulce = Indice dulzura (mayor indice es mas dulzura)
Col 2 = Pectin = Cantidad de pectina (en ppm)
end variables
begin data
Caso  Dulce Pectin
 1          5.2         220
 2          5.5         227
 3          6.0         259
 4          5.9         210
 5          5.8         224
 6          6.0         215
 7          5.8         231
 8          5.6         268
 9          5.6         239
10          5.9         212
11          5.4         410
12          5.6         256
13          5.8         306 
14          5.5         259 
15          5.3         284 
16          5.3         383 
17          5.7         271 
18          5.5         264 
19          5.7         227 
20          5.3         263 
21          5.9         232 
22          5.8         220 
23          5.8         246 
24          5.9         241 
